"","dt","symbol1","symbol2","coint","p_value","test_value","residual_se","beta"
"1",2008-01-01,"A","ACH",0,NA,NA,NA,NA
"2",2008-01-01,"A","ACN",0,NA,NA,NA,NA
"3",2008-01-01,"A","ADS",0,NA,NA,NA,NA
"4",2008-01-01,"A","AIV",0,NA,NA,NA,NA
"5",2008-01-01,"A","ASGN",0,NA,NA,NA,NA
"6",2008-01-01,"A","AUO",0,NA,NA,NA,NA
"7",2008-01-01,"A","BG",0,NA,NA,NA,NA
"8",2008-01-01,"A","BLK",0,NA,NA,NA,NA
"9",2008-01-01,"A","BPL",0,NA,NA,NA,NA
"10",2008-01-01,"A","BVN",0,NA,NA,NA,NA
"11",2008-01-01,"A","BXP",0,NA,NA,NA,NA
"12",2008-01-01,"A","BYD",0,NA,NA,NA,NA
"13",2008-01-01,"A","CBD",0,NA,NA,NA,NA
"14",2008-01-01,"A","CCJ",0,NA,NA,NA,NA
"15",2008-01-01,"A","CCL",0,NA,NA,NA,NA
"16",2008-01-01,"A","CEA",0,NA,NA,NA,NA
"17",2008-01-01,"A","CHA",0,NA,NA,NA,NA
"18",2008-01-01,"A","CIEN",0,NA,NA,NA,NA
"19",2008-01-01,"A","CLB",0,NA,NA,NA,NA
"20",2008-01-01,"A","CNX",0,NA,NA,NA,NA
"21",2008-01-01,"A","COF",0,NA,NA,NA,NA
"22",2008-01-01,"A","COG",1,0.0186136764311268,-3.80633752665385,1.09994706971808,1.25623020147028
"23",2008-01-01,"A","CPT",0,NA,NA,NA,NA
"24",2008-01-01,"A","CRL",0,NA,NA,NA,NA
"25",2008-01-01,"A","DECK",0,NA,NA,NA,NA
"26",2008-01-01,"A","DKS",0,NA,NA,NA,NA
"27",2008-01-01,"A","DNP",0,NA,NA,NA,NA
"28",2008-01-01,"A","EL",0,NA,NA,NA,NA
"29",2008-01-01,"A","EPR",0,NA,NA,NA,NA
"30",2008-01-01,"A","ERJ",0,NA,NA,NA,NA
"31",2008-01-01,"A","ESS",0,NA,NA,NA,NA
"32",2008-01-01,"A","FBR",0,NA,NA,NA,NA
"33",2008-01-01,"A","FDS",0,NA,NA,NA,NA
"34",2008-01-01,"A","FR",0,NA,NA,NA,NA
"35",2008-01-01,"A","FUN",0,NA,NA,NA,NA
"36",2008-01-01,"A","GEL",0,NA,NA,NA,NA
"37",2008-01-01,"A","GIL",0,NA,NA,NA,NA
"38",2008-01-01,"A","GS",0,NA,NA,NA,NA
"39",2008-01-01,"A","HAE",0,NA,NA,NA,NA
"40",2008-01-01,"A","HDB",1,0.0347924704990328,-3.57706902624199,0.872832435004594,0.163316436060708
"41",2008-01-01,"A","HIW",0,NA,NA,NA,NA
"42",2008-01-01,"A","HNP",0,NA,NA,NA,NA
"43",2008-01-01,"A","HR",0,NA,NA,NA,NA
"44",2008-01-01,"A","IEX",0,NA,NA,NA,NA
"45",2008-01-01,"A","ING",1,0.01,-4.02501237973309,1.29061686782385,1.87011100376362
"46",2008-01-01,"A","IT",0,NA,NA,NA,NA
"47",2008-01-01,"A","JBL",1,0.01,-4.11802437263073,0.399796552985967,0.415992386368434
"48",2008-01-01,"A","JNPR",0,NA,NA,NA,NA
"49",2008-01-01,"A","KEP",0,NA,NA,NA,NA
"50",2008-01-01,"A","KOF",0,NA,NA,NA,NA
"51",2008-01-01,"A","KRC",0,NA,NA,NA,NA
"52",2008-01-01,"A","KSS",0,NA,NA,NA,NA
"53",2008-01-01,"A","LHO",0,NA,NA,NA,NA
"54",2008-01-01,"A","LII",0,NA,NA,NA,NA
"55",2008-01-01,"A","MAA",0,NA,NA,NA,NA
"56",2008-01-01,"A","MAC",0,NA,NA,NA,NA
"57",2008-01-01,"A","MET",0,NA,NA,NA,NA
"58",2008-01-01,"A","MKL",0,NA,NA,NA,NA
"59",2008-01-01,"A","MLM",0,NA,NA,NA,NA
"60",2008-01-01,"A","MMS",0,NA,NA,NA,NA
"61",2008-01-01,"A","MSM",0,NA,NA,NA,NA
"62",2008-01-01,"A","MTD",1,0.0343860758854821,-3.58131080720174,4.33344029278318,4.53755368175673
"63",2008-01-01,"A","MTG",0,NA,NA,NA,NA
"64",2008-01-01,"A","MTN",0,NA,NA,NA,NA
"65",2008-01-01,"A","NEA",0,NA,NA,NA,NA
"66",2008-01-01,"A","NFX",0,NA,NA,NA,NA
"67",2008-01-01,"A","NOK",0,NA,NA,NA,NA
"68",2008-01-01,"A","NUS",0,NA,NA,NA,NA
"69",2008-01-01,"A","NVG",0,NA,NA,NA,NA
"70",2008-01-01,"A","OHI",0,NA,NA,NA,NA
"71",2008-01-01,"A","ORCL",0,NA,NA,NA,NA
"72",2008-01-01,"A","PAA",0,NA,NA,NA,NA
"73",2008-01-01,"A","PKG",0,NA,NA,NA,NA
"74",2008-01-01,"A","PKX",0,NA,NA,NA,NA
"75",2008-01-01,"A","PRU",1,0.0190368213453624,-3.79790678917315,2.47406862226753,3.02484074196512
"76",2008-01-01,"A","RCL",0,NA,NA,NA,NA
"77",2008-01-01,"A","RIO",0,NA,NA,NA,NA
"78",2008-01-01,"A","RL",0,NA,NA,NA,NA
"79",2008-01-01,"A","ROP",0,NA,NA,NA,NA
"80",2008-01-01,"A","RS",0,NA,NA,NA,NA
"81",2008-01-01,"A","RSG",0,NA,NA,NA,NA
"82",2008-01-01,"A","SBS",1,0.01,-4.01548850442001,1.69453349575664,2.03683537853647
"83",2008-01-01,"A","SKX",0,NA,NA,NA,NA
"84",2008-01-01,"A","SLG",0,NA,NA,NA,NA
"85",2008-01-01,"A","SMG",0,NA,NA,NA,NA
"86",2008-01-01,"A","SQM",0,NA,NA,NA,NA
"87",2008-01-01,"A","SUI",0,NA,NA,NA,NA
"88",2008-01-01,"A","TCO",0,NA,NA,NA,NA
"89",2008-01-01,"A","TEF",0,NA,NA,NA,NA
"90",2008-01-01,"A","TIF",0,NA,NA,NA,NA
"91",2008-01-01,"A","TSM",0,NA,NA,NA,NA
"92",2008-01-01,"A","TV",0,NA,NA,NA,NA
"93",2008-01-01,"A","UPS",0,NA,NA,NA,NA
"94",2008-01-01,"A","URI",0,NA,NA,NA,NA
