"","dt","symbol1","symbol2","coint","p_value","test_value","residual_se","beta"
"1",2010-01-01,"A","ACH",0,NA,NA,NA,NA
"2",2010-01-01,"A","ACN",0,NA,NA,NA,NA
"3",2010-01-01,"A","ADS",0,NA,NA,NA,NA
"4",2010-01-01,"A","AIV",0,NA,NA,NA,NA
"5",2010-01-01,"A","ASGN",0,NA,NA,NA,NA
"6",2010-01-01,"A","AUO",0,NA,NA,NA,NA
"7",2010-01-01,"A","BG",0,NA,NA,NA,NA
"8",2010-01-01,"A","BLK",1,0.020836022576649,-3.76220959871828,0.577838656117167,0.129605000858798
"9",2010-01-01,"A","BPL",0,NA,NA,NA,NA
"10",2010-01-01,"A","BVN",0,NA,NA,NA,NA
"11",2010-01-01,"A","BXP",0,NA,NA,NA,NA
"12",2010-01-01,"A","BYD",0,NA,NA,NA,NA
"13",2010-01-01,"A","CBD",0,NA,NA,NA,NA
"14",2010-01-01,"A","CCJ",0,NA,NA,NA,NA
"15",2010-01-01,"A","CCL",0,NA,NA,NA,NA
"16",2010-01-01,"A","CEA",0,NA,NA,NA,NA
"17",2010-01-01,"A","CHA",0,NA,NA,NA,NA
"18",2010-01-01,"A","CIEN",0,NA,NA,NA,NA
"19",2010-01-01,"A","CLB",0,NA,NA,NA,NA
"20",2010-01-01,"A","CNX",0,NA,NA,NA,NA
"21",2010-01-01,"A","COF",0,NA,NA,NA,NA
"22",2010-01-01,"A","COG",0,NA,NA,NA,NA
"23",2010-01-01,"A","CPT",0,NA,NA,NA,NA
"24",2010-01-01,"A","CRL",0,NA,NA,NA,NA
"25",2010-01-01,"A","DECK",0,NA,NA,NA,NA
"26",2010-01-01,"A","DKS",0,NA,NA,NA,NA
"27",2010-01-01,"A","DNP",0,NA,NA,NA,NA
"28",2010-01-01,"A","EL",0,NA,NA,NA,NA
"29",2010-01-01,"A","EPR",0,NA,NA,NA,NA
"30",2010-01-01,"A","ERJ",0,NA,NA,NA,NA
"31",2010-01-01,"A","ESS",0,NA,NA,NA,NA
"32",2010-01-01,"A","FBR",0,NA,NA,NA,NA
"33",2010-01-01,"A","FDS",0,NA,NA,NA,NA
"34",2010-01-01,"A","FR",0,NA,NA,NA,NA
"35",2010-01-01,"A","FUN",0,NA,NA,NA,NA
"36",2010-01-01,"A","GEL",0,NA,NA,NA,NA
"37",2010-01-01,"A","GIL",0,NA,NA,NA,NA
