"","dt","symbol1","symbol2","coint","p_value","test_value","residual_se","beta"
"1",2009-01-01,"A","ACH",0,NA,NA,NA,NA
"2",2009-01-01,"A","ACN",0,NA,NA,NA,NA
"3",2009-01-01,"A","ADS",1,0.01,-4.26071691481662,2.07395819287967,0.451110397133404
"4",2009-01-01,"A","AIV",1,0.01,-4.02447200656317,4.28903107349707,2.04637277357666
"5",2009-01-01,"A","ASGN",0,NA,NA,NA,NA
"6",2009-01-01,"A","AUO",0,NA,NA,NA,NA
"7",2009-01-01,"A","BG",0,NA,NA,NA,NA
"8",2009-01-01,"A","BLK",0,NA,NA,NA,NA
"9",2009-01-01,"BPL","A",1,0.0301904772792755,-3.61216798499295,7.57403453550613,1.94772825534786
"10",2009-01-01,"A","BVN",0,NA,NA,NA,NA
"11",2009-01-01,"BXP","A",1,0.01,-5.62839221705094,5.15514436331153,2.38876852093222
"12",2009-01-01,"A","BYD",0,NA,NA,NA,NA
"13",2009-01-01,"A","CBD",0,NA,NA,NA,NA
"14",2009-01-01,"A","CCJ",0,NA,NA,NA,NA
"15",2009-01-01,"A","CCL",0,NA,NA,NA,NA
"16",2009-01-01,"CEA","A",1,0.01,-5.99780296879694,5.49205287631048,1.13424968034807
"17",2009-01-01,"A","CHA",0,NA,NA,NA,NA
"18",2009-01-01,"A","CIEN",0,NA,NA,NA,NA
"19",2009-01-01,"A","CLB",0,NA,NA,NA,NA
"20",2009-01-01,"A","CNX",0,NA,NA,NA,NA
"21",2009-01-01,"A","COF",1,0.01,-4.37837379525992,5.24621793987305,0.765168567022266
"22",2009-01-01,"A","COG",0,NA,NA,NA,NA
"23",2009-01-01,"CPT","A",1,0.01,-4.87987437031589,3.1930150010564,1.41065223358075
"24",2009-01-01,"A","CRL",0,NA,NA,NA,NA
"25",2009-01-01,"A","DECK",0,NA,NA,NA,NA
"26",2009-01-01,"A","DKS",0,NA,NA,NA,NA
"27",2009-01-01,"DNP","A",1,0.01,-5.39851144908493,1.75865873051153,0.352024919240076
"28",2009-01-01,"A","EL",0,NA,NA,NA,NA
"29",2009-01-01,"A","EPR",1,0.01,-4.54141297129283,3.05750076935276,0.835313095018362
"30",2009-01-01,"A","ERJ",0,NA,NA,NA,NA
"31",2009-01-01,"A","ESS",0,NA,NA,NA,NA
"32",2009-01-01,"A","FBR",0,NA,NA,NA,NA
"33",2009-01-01,"A","FDS",0,NA,NA,NA,NA
"34",2009-01-01,"A","FR",0,NA,NA,NA,NA
"35",2009-01-01,"A","FUN",0,NA,NA,NA,NA
"36",2009-01-01,"GEL","A",1,0.01,-8.75197636388033,1.30021532079731,0.621881264215544
"37",2009-01-01,"A","GIL",0,NA,NA,NA,NA
"38",2009-01-01,"A","GS",0,NA,NA,NA,NA
"39",2009-01-01,"A","HAE",0,NA,NA,NA,NA
"40",2009-01-01,"A","HDB",0,NA,NA,NA,NA
"41",2009-01-01,"HIW","A",1,0.01,-5.06431503668029,3.37652755036637,1.14858760630929
"42",2009-01-01,"A","HNP",0,NA,NA,NA,NA
"43",2009-01-01,"HR","A",1,0.01,-7.65013269592575,2.98471340497307,0.824198201124518
"44",2009-01-01,"A","IEX",0,NA,NA,NA,NA
"45",2009-01-01,"A","ING",0,NA,NA,NA,NA
"46",2009-01-01,"A","IT",0,NA,NA,NA,NA
"47",2009-01-01,"A","JBL",0,NA,NA,NA,NA
"48",2009-01-01,"A","JNPR",0,NA,NA,NA,NA
"49",2009-01-01,"A","KEP",0,NA,NA,NA,NA
"50",2009-01-01,"KOF","A",1,0.0486846627672921,-3.42550022435188,6.06217843809574,1.98649826331631
"51",2009-01-01,"A","KRC",0,NA,NA,NA,NA
"52",2009-01-01,"A","KSS",0,NA,NA,NA,NA
"53",2009-01-01,"LHO","A",1,0.0482885714119109,-3.42948293187806,3.62831295039259,0.64119868644892
"54",2009-01-01,"A","LII",0,NA,NA,NA,NA
"55",2009-01-01,"MAA","A",1,0.0358864455253274,-3.55482644912536,5.13981577700162,1.70674301691761
"56",2009-01-01,"A","MAC",1,0.0177739755791945,-3.8089371718332,5.47465656910267,0.975523484740381
"57",2009-01-01,"A","MET",0,NA,NA,NA,NA
"58",2009-01-01,"A","MKL",0,NA,NA,NA,NA
"59",2009-01-01,"A","MLM",0,NA,NA,NA,NA
"60",2009-01-01,"A","MMS",0,NA,NA,NA,NA
"61",2009-01-01,"A","MSM",0,NA,NA,NA,NA
"62",2009-01-01,"A","MTD",0,NA,NA,NA,NA
"63",2009-01-01,"A","MTG",0,NA,NA,NA,NA
"64",2009-01-01,"MTN","A",1,0.01,-4.39838254847838,3.36609957713752,1.32826777179586
"65",2009-01-01,"A","NEA",0,NA,NA,NA,NA
"66",2009-01-01,"A","NFX",0,NA,NA,NA,NA
"67",2009-01-01,"A","NOK",0,NA,NA,NA,NA
"68",2009-01-01,"A","NUS",0,NA,NA,NA,NA
"69",2009-01-01,"NVG","A",1,0.01,-5.34389339232181,3.47151184891524,0.567935467847207
"70",2009-01-01,"A","OHI",0,NA,NA,NA,NA
"71",2009-01-01,"A","ORCL",0,NA,NA,NA,NA
"72",2009-01-01,"A","PAA",0,NA,NA,NA,NA
"73",2009-01-01,"A","PKG",0,NA,NA,NA,NA
"74",2009-01-01,"A","PKX",0,NA,NA,NA,NA
"75",2009-01-01,"A","PRU",0,NA,NA,NA,NA
"76",2009-01-01,"RCL","A",1,0.0112935161771784,-3.93904686238608,4.27046251895952,0.757203880098055
"77",2009-01-01,"A","RIO",0,NA,NA,NA,NA
"78",2009-01-01,"A","RL",0,NA,NA,NA,NA
"79",2009-01-01,"A","ROP",0,NA,NA,NA,NA
"80",2009-01-01,"A","RS",0,NA,NA,NA,NA
"81",2009-01-01,"A","RSG",0,NA,NA,NA,NA
"82",2009-01-01,"A","SBS",0,NA,NA,NA,NA
"83",2009-01-01,"A","SKX",0,NA,NA,NA,NA
"84",2009-01-01,"A","SLG",1,0.01,-5.17377101150511,7.02957471475824,0.713562174371971
"85",2009-01-01,"A","SMG",0,NA,NA,NA,NA
"86",2009-01-01,"A","SQM",0,NA,NA,NA,NA
"87",2009-01-01,"SUI","A",1,0.01,-4.98530473096487,1.90738370417804,0.696789972187883
"88",2009-01-01,"TCO","A",1,0.01,-4.32730030939577,2.90248705754064,1.21902870713004
"89",2009-01-01,"A","TEF",0,NA,NA,NA,NA
"90",2009-01-01,"A","TIF",0,NA,NA,NA,NA
"91",2009-01-01,"A","TSM",0,NA,NA,NA,NA
"92",2009-01-01,"A","TV",0,NA,NA,NA,NA
"93",2009-01-01,"A","UPS",0,NA,NA,NA,NA
"94",2009-01-01,"A","URI",1,0.01,-5.21036738976717,4.09076698427218,2.93388557131253
"95",2009-01-01,"A","USM",0,NA,NA,NA,NA
"96",2009-01-01,"A","WAT",0,NA,NA,NA,NA
"97",2009-01-01,"A","YPF",0,NA,NA,NA,NA
"98",2009-01-01,"A","ZNH",0,NA,NA,NA,NA
"99",2009-01-01,"ACH","ACN",0,NA,NA,NA,NA
"100",2009-01-01,"ACH","ADS",0,NA,NA,NA,NA
"101",2009-01-01,"ACH","AIV",0,NA,NA,NA,NA
"102",2009-01-01,"ACH","ASGN",0,NA,NA,NA,NA
"103",2009-01-01,"ACH","AUO",0,NA,NA,NA,NA
"104",2009-01-01,"ACH","BG",0,NA,NA,NA,NA
"105",2009-01-01,"ACH","BLK",0,NA,NA,NA,NA
"106",2009-01-01,"ACH","BPL",0,NA,NA,NA,NA
"107",2009-01-01,"ACH","BVN",0,NA,NA,NA,NA
"108",2009-01-01,"ACH","BXP",0,NA,NA,NA,NA
"109",2009-01-01,"ACH","BYD",0,NA,NA,NA,NA
"110",2009-01-01,"ACH","CBD",0,NA,NA,NA,NA
"111",2009-01-01,"ACH","CCJ",0,NA,NA,NA,NA
"112",2009-01-01,"ACH","CCL",0,NA,NA,NA,NA
"113",2009-01-01,"CEA","ACH",1,0.01,-4.49354651427791,5.68655210809507,1.08612965673513
"114",2009-01-01,"ACH","CHA",0,NA,NA,NA,NA
"115",2009-01-01,"ACH","CIEN",0,NA,NA,NA,NA
"116",2009-01-01,"ACH","CLB",0,NA,NA,NA,NA
"117",2009-01-01,"ACH","CNX",0,NA,NA,NA,NA
"118",2009-01-01,"ACH","COF",0,NA,NA,NA,NA
"119",2009-01-01,"ACH","COG",0,NA,NA,NA,NA
"120",2009-01-01,"ACH","CPT",0,NA,NA,NA,NA
"121",2009-01-01,"ACH","CRL",0,NA,NA,NA,NA
"122",2009-01-01,"ACH","DECK",0,NA,NA,NA,NA
"123",2009-01-01,"ACH","DKS",0,NA,NA,NA,NA
"124",2009-01-01,"ACH","DNP",0,NA,NA,NA,NA
"125",2009-01-01,"ACH","EL",0,NA,NA,NA,NA
"126",2009-01-01,"ACH","EPR",0,NA,NA,NA,NA
"127",2009-01-01,"ACH","ERJ",0,NA,NA,NA,NA
"128",2009-01-01,"ACH","ESS",0,NA,NA,NA,NA
"129",2009-01-01,"ACH","FBR",0,NA,NA,NA,NA
"130",2009-01-01,"ACH","FDS",0,NA,NA,NA,NA
"131",2009-01-01,"ACH","FR",0,NA,NA,NA,NA
"132",2009-01-01,"ACH","FUN",0,NA,NA,NA,NA
"133",2009-01-01,"ACH","GEL",0,NA,NA,NA,NA
"134",2009-01-01,"ACH","GIL",0,NA,NA,NA,NA
"135",2009-01-01,"GS","ACH",1,0.0422103667834291,-3.49146252608346,16.364460538096,6.04609249071357
"136",2009-01-01,"ACH","HAE",0,NA,NA,NA,NA
"137",2009-01-01,"ACH","HDB",0,NA,NA,NA,NA
"138",2009-01-01,"ACH","HIW",0,NA,NA,NA,NA
"139",2009-01-01,"ACH","HNP",0,NA,NA,NA,NA
"140",2009-01-01,"ACH","HR",0,NA,NA,NA,NA
"141",2009-01-01,"ACH","IEX",0,NA,NA,NA,NA
"142",2009-01-01,"ACH","ING",0,NA,NA,NA,NA
"143",2009-01-01,"ACH","IT",0,NA,NA,NA,NA
"144",2009-01-01,"ACH","JBL",0,NA,NA,NA,NA
"145",2009-01-01,"ACH","JNPR",0,NA,NA,NA,NA
"146",2009-01-01,"ACH","KEP",0,NA,NA,NA,NA
"147",2009-01-01,"ACH","KOF",0,NA,NA,NA,NA
"148",2009-01-01,"ACH","KRC",0,NA,NA,NA,NA
"149",2009-01-01,"ACH","KSS",0,NA,NA,NA,NA
"150",2009-01-01,"ACH","LHO",0,NA,NA,NA,NA
"151",2009-01-01,"ACH","LII",0,NA,NA,NA,NA
"152",2009-01-01,"ACH","MAA",0,NA,NA,NA,NA
"153",2009-01-01,"ACH","MAC",0,NA,NA,NA,NA
"154",2009-01-01,"ACH","MET",0,NA,NA,NA,NA
"155",2009-01-01,"ACH","MKL",0,NA,NA,NA,NA
"156",2009-01-01,"ACH","MLM",0,NA,NA,NA,NA
"157",2009-01-01,"ACH","MMS",0,NA,NA,NA,NA
"158",2009-01-01,"ACH","MSM",0,NA,NA,NA,NA
"159",2009-01-01,"ACH","MTD",0,NA,NA,NA,NA
"160",2009-01-01,"ACH","MTG",0,NA,NA,NA,NA
"161",2009-01-01,"ACH","MTN",0,NA,NA,NA,NA
"162",2009-01-01,"ACH","NEA",0,NA,NA,NA,NA
"163",2009-01-01,"ACH","NFX",0,NA,NA,NA,NA
"164",2009-01-01,"ACH","NOK",0,NA,NA,NA,NA
"165",2009-01-01,"ACH","NUS",0,NA,NA,NA,NA
"166",2009-01-01,"ACH","NVG",0,NA,NA,NA,NA
"167",2009-01-01,"ACH","OHI",0,NA,NA,NA,NA
"168",2009-01-01,"ACH","ORCL",0,NA,NA,NA,NA
"169",2009-01-01,"ACH","PAA",0,NA,NA,NA,NA
"170",2009-01-01,"ACH","PKG",0,NA,NA,NA,NA
"171",2009-01-01,"ACH","PKX",0,NA,NA,NA,NA
"172",2009-01-01,"ACH","PRU",0,NA,NA,NA,NA
"173",2009-01-01,"ACH","RCL",0,NA,NA,NA,NA
"174",2009-01-01,"ACH","RIO",0,NA,NA,NA,NA
"175",2009-01-01,"ACH","RL",0,NA,NA,NA,NA
"176",2009-01-01,"ACH","ROP",0,NA,NA,NA,NA
"177",2009-01-01,"ACH","RS",0,NA,NA,NA,NA
"178",2009-01-01,"ACH","RSG",0,NA,NA,NA,NA
"179",2009-01-01,"ACH","SBS",0,NA,NA,NA,NA
"180",2009-01-01,"ACH","SKX",0,NA,NA,NA,NA
"181",2009-01-01,"ACH","SLG",0,NA,NA,NA,NA
"182",2009-01-01,"ACH","SMG",0,NA,NA,NA,NA
"183",2009-01-01,"ACH","SQM",0,NA,NA,NA,NA
"184",2009-01-01,"ACH","SUI",0,NA,NA,NA,NA
"185",2009-01-01,"ACH","TCO",0,NA,NA,NA,NA
"186",2009-01-01,"ACH","TEF",0,NA,NA,NA,NA
"187",2009-01-01,"ACH","TIF",0,NA,NA,NA,NA
"188",2009-01-01,"ACH","TSM",0,NA,NA,NA,NA
"189",2009-01-01,"ACH","TV",0,NA,NA,NA,NA
"190",2009-01-01,"ACH","UPS",0,NA,NA,NA,NA
"191",2009-01-01,"ACH","URI",0,NA,NA,NA,NA
"192",2009-01-01,"ACH","USM",0,NA,NA,NA,NA
"193",2009-01-01,"ACH","WAT",0,NA,NA,NA,NA
"194",2009-01-01,"ACH","YPF",0,NA,NA,NA,NA
"195",2009-01-01,"ZNH","ACH",1,0.01,-6.60168063035314,1.46366072902694,0.575711065993977
"196",2009-01-01,"ACN","ADS",0,NA,NA,NA,NA
"197",2009-01-01,"ACN","AIV",0,NA,NA,NA,NA
"198",2009-01-01,"ACN","ASGN",1,0.0211737335867048,-3.74122924786389,9.74590132433716,6.98975804166392
"199",2009-01-01,"ACN","AUO",0,NA,NA,NA,NA
"200",2009-01-01,"ACN","BG",0,NA,NA,NA,NA
"201",2009-01-01,"ACN","BLK",0,NA,NA,NA,NA
"202",2009-01-01,"BPL","ACN",1,0.01,-6.21608098267447,3.10683906148165,1.29242961308971
"203",2009-01-01,"ACN","BVN",0,NA,NA,NA,NA
"204",2009-01-01,"ACN","BXP",0,NA,NA,NA,NA
"205",2009-01-01,"ACN","BYD",0,NA,NA,NA,NA
"206",2009-01-01,"CBD","ACN",1,0.01,-5.62053581522955,16.1557405676481,1.33881189539833
"207",2009-01-01,"ACN","CCJ",0,NA,NA,NA,NA
"208",2009-01-01,"ACN","CCL",0,NA,NA,NA,NA
"209",2009-01-01,"ACN","CEA",0,NA,NA,NA,NA
"210",2009-01-01,"ACN","CHA",0,NA,NA,NA,NA
"211",2009-01-01,"ACN","CIEN",0,NA,NA,NA,NA
"212",2009-01-01,"ACN","CLB",0,NA,NA,NA,NA
"213",2009-01-01,"ACN","CNX",0,NA,NA,NA,NA
"214",2009-01-01,"ACN","COF",0,NA,NA,NA,NA
"215",2009-01-01,"ACN","COG",0,NA,NA,NA,NA
"216",2009-01-01,"ACN","CPT",0,NA,NA,NA,NA
"217",2009-01-01,"ACN","CRL",0,NA,NA,NA,NA
"218",2009-01-01,"DECK","ACN",1,0.01,-4.17487696294985,13.783630743449,2.09333913734101
"219",2009-01-01,"ACN","DKS",0,NA,NA,NA,NA
"220",2009-01-01,"ACN","DNP",0,NA,NA,NA,NA
"221",2009-01-01,"ACN","EL",0,NA,NA,NA,NA
"222",2009-01-01,"ACN","EPR",0,NA,NA,NA,NA
"223",2009-01-01,"ACN","ERJ",0,NA,NA,NA,NA
"224",2009-01-01,"ACN","ESS",0,NA,NA,NA,NA
"225",2009-01-01,"ACN","FBR",0,NA,NA,NA,NA
"226",2009-01-01,"ACN","FDS",0,NA,NA,NA,NA
"227",2009-01-01,"ACN","FR",0,NA,NA,NA,NA
"228",2009-01-01,"ACN","FUN",0,NA,NA,NA,NA
"229",2009-01-01,"GEL","ACN",1,0.01,-8.08976051144501,2.08895095678975,0.41057369257437
"230",2009-01-01,"ACN","GIL",0,NA,NA,NA,NA
"231",2009-01-01,"ACN","GS",0,NA,NA,NA,NA
"232",2009-01-01,"ACN","HAE",0,NA,NA,NA,NA
"233",2009-01-01,"ACN","HDB",0,NA,NA,NA,NA
"234",2009-01-01,"ACN","HIW",0,NA,NA,NA,NA
"235",2009-01-01,"ACN","HNP",0,NA,NA,NA,NA
"236",2009-01-01,"ACN","HR",0,NA,NA,NA,NA
"237",2009-01-01,"ACN","IEX",0,NA,NA,NA,NA
"238",2009-01-01,"ACN","ING",0,NA,NA,NA,NA
"239",2009-01-01,"ACN","IT",0,NA,NA,NA,NA
"240",2009-01-01,"ACN","JBL",0,NA,NA,NA,NA
"241",2009-01-01,"ACN","JNPR",0,NA,NA,NA,NA
"242",2009-01-01,"ACN","KEP",0,NA,NA,NA,NA
"243",2009-01-01,"KOF","ACN",1,0.01,-4.36754575050136,6.65457827789767,1.31165500503014
"244",2009-01-01,"ACN","KRC",0,NA,NA,NA,NA
"245",2009-01-01,"ACN","KSS",0,NA,NA,NA,NA
"246",2009-01-01,"ACN","LHO",0,NA,NA,NA,NA
"247",2009-01-01,"ACN","LII",0,NA,NA,NA,NA
"248",2009-01-01,"ACN","MAA",0,NA,NA,NA,NA
"249",2009-01-01,"ACN","MAC",0,NA,NA,NA,NA
"250",2009-01-01,"ACN","MET",0,NA,NA,NA,NA
"251",2009-01-01,"ACN","MKL",0,NA,NA,NA,NA
"252",2009-01-01,"ACN","MLM",0,NA,NA,NA,NA
"253",2009-01-01,"ACN","MMS",0,NA,NA,NA,NA
"254",2009-01-01,"ACN","MSM",0,NA,NA,NA,NA
"255",2009-01-01,"ACN","MTD",0,NA,NA,NA,NA
"256",2009-01-01,"ACN","MTG",0,NA,NA,NA,NA
"257",2009-01-01,"ACN","MTN",0,NA,NA,NA,NA
"258",2009-01-01,"ACN","NEA",0,NA,NA,NA,NA
"259",2009-01-01,"ACN","NFX",0,NA,NA,NA,NA
"260",2009-01-01,"ACN","NOK",0,NA,NA,NA,NA
"261",2009-01-01,"ACN","NUS",0,NA,NA,NA,NA
